"company_name","full_name","title","bio"
"2xu north america","","",""
"elizabeth arden","Winnie Cho","Director, Global Marketing at Elizabeth Arden","https://www.linkedin.com/in/winnie-cho-b613855"
"world kitchen","Andy Wang","Digital Brand Marketing Manager at World Kitchen","https://www.linkedin.com/in/andy-wang-1a495916"
"the donna karan company,  .","","",""
"ve camuto","","",""
"the cambridge satchel company","Julie Deane OBE","Founder & CEO, The Cambridge Satchel Company","https://ca.linkedin.com/in/cambridgesatchel"
"kat von d, .","","",""
"john varvatos enterprises","Anthony Davolos","Director of Marketing & Events at John Varvatos Enterprises","https://www.linkedin.com/in/anthony-davolos-49999520"
"world entertainment network","","",""
"tourneau","Anurag Kadyan","Vice President of eCommerce & Digital Marketing","https://www.linkedin.com/in/anuragkadyan"